date,total_study_sessions
2022-09-16,1
2022-09-18,2
2022-09-21,1
2022-10-02,1
2022-10-03,2
2022-10-04,4
2022-10-05,1
2022-10-06,2
2022-10-07,2
2022-10-08,2
2022-10-09,2
2022-10-11,1
2022-10-14,1
2022-10-17,1
2022-10-20,2
2022-10-24,1
2022-11-02,1
2022-11-03,2
2022-11-05,2
2022-11-07,1
2022-11-13,3
2022-11-14,2
2022-11-15,1
2022-11-18,1
2022-11-19,1
2022-11-21,2
2022-11-22,2
2022-11-23,2
2022-11-25,4
2022-11-26,2
2022-11-27,1
2022-11-28,4
2022-11-30,1
2022-12-05,1
2022-12-07,1
2022-12-10,1
2022-12-14,1
2022-12-17,2
2022-12-18,1
2022-12-29,3
2022-12-30,1
2023-01-02,2
2023-01-03,1
2023-01-04,2
2023-01-05,2
2023-01-07,4
2023-01-11,1
2023-01-12,1
2023-01-14,1
2023-01-16,1
2023-01-17,1
2023-01-27,1
2023-03-18,1
2023-03-22,3
2023-03-23,1
2023-03-24,2
2023-03-25,1
2023-03-27,1
2023-03-30,3
2023-03-31,2
2023-04-01,4
2023-04-02,4
2023-04-03,2
2023-04-04,1
2023-04-06,1
2023-04-07,4
2023-04-08,4
2023-04-09,6
2023-04-10,1
2023-04-11,2
2023-04-12,5
2023-04-13,6
2023-04-14,5
2023-04-15,4
2023-04-20,1
2023-04-23,6
2023-04-24,1
2023-04-25,1
2023-04-26,4
2023-04-27,3
2023-04-28,2
2023-05-17,2
2023-05-19,1
2023-05-20,5
2023-05-21,5
2023-05-24,1
2023-05-25,4
2023-05-31,7
2023-06-01,4
2023-06-02,4
2023-06-03,4
2023-06-04,4
2023-10-22,1
2023-11-04,3
2023-11-05,3
2023-11-08,1
2023-11-09,6
2023-11-10,7
2023-11-11,2
2023-11-12,1
2023-11-15,8
2023-11-16,5
2023-11-17,2
2023-11-21,2
2023-11-22,3
2023-11-23,8
2023-11-24,4
2023-11-28,1
2023-11-30,3
2023-12-05,2
2023-12-06,5
2023-12-07,7
2023-12-08,3
2023-12-13,1
2023-12-18,1
2023-12-21,2
2023-12-24,3
2023-12-25,2
2023-12-28,1
2023-12-31,2
2024-01-01,1
2024-01-02,3
2024-01-03,7
2024-01-04,7
2024-01-05,5
2024-01-06,4
2024-01-07,4
2024-01-08,2
2024-01-09,2
2024-01-14,2
2024-01-15,3
2024-02-20,1
2024-02-21,1
2024-03-02,2
2024-03-04,1
2024-03-05,1
2024-03-07,2
2024-03-08,2
2024-03-09,2
2024-03-10,3
2024-03-13,1
2024-03-14,3
2024-03-15,3
2024-03-16,6
2024-03-17,3
2024-03-18,2
2024-03-19,2
2024-03-20,4
2024-03-21,2
2024-03-22,4
2024-03-23,3
2024-03-26,2
2024-03-27,3
2024-03-28,3
2024-03-29,1
2024-04-02,1
2024-04-03,1
2024-04-08,2
2024-04-09,3
2024-04-10,1
2024-04-11,1
2024-04-14,1
2024-04-15,1
2024-04-16,2
2024-04-17,2
2024-04-18,1
2024-04-19,2
2024-04-20,2
2024-04-21,3
2024-04-23,2
2024-04-24,2
2024-04-25,1
2024-04-26,2
2024-04-28,4
2024-04-29,1
2024-04-30,2
2024-05-01,3
2024-05-02,3
2024-05-04,1
2024-05-05,2
2024-05-09,3
2024-05-10,1
2024-05-13,1
2024-05-15,1
2024-05-19,1
2024-05-21,3
2024-05-22,1
2024-05-23,2
2024-05-24,3
2024-05-27,2
2024-05-28,2
2024-05-29,2
2024-06-01,1
2024-06-02,1
2024-06-03,3
2024-06-04,2
2024-06-05,2
2024-08-14,1
2024-08-16,2
2024-08-17,2
2024-08-18,1
2024-08-19,2
2024-08-20,1
2024-08-24,1
2024-09-01,3
2024-09-02,3
2024-09-07,1
2024-09-13,2
2024-09-14,1
2024-09-15,1
2024-09-25,1
2024-10-04,1
2024-10-10,1
2024-10-13,3
2024-10-14,4
2024-10-16,4
2024-10-19,4
2024-10-21,4
2024-10-23,1
2024-10-24,1
2024-10-26,3
2024-10-28,2
2024-10-29,6
2024-10-30,5
2024-10-31,1
2024-11-01,5
2024-11-02,6
2024-11-03,1
2024-11-04,3
2024-11-05,1
2024-11-06,3
2024-11-07,3
2024-11-08,4
2024-11-09,13
2024-11-10,2
2024-11-11,6
2024-11-12,4
2024-11-13,4
2024-11-14,4
2024-11-15,6
2024-11-16,1
2024-11-18,3
2024-11-19,1
