Tag,Total Hours,Study Sessions,Weight,Distributed Unset Hours,Distributed Study Hours,Distributed Unset Sessions,Distributed Study Sessions,Adjusted Total Hours,Adjusted Study Sessions,Attention Span (minutes/attempt)
HUM201,10.999658055555555,7,0.016905753442573935,1.5877320108150688,0.04065000624977722,1.4031775357336367,0.05071726032772181,12.6280400726204,8.453894796061359,89.62524642608821
MATH201,58.203142222222226,38,0.08945441458473201,8.40126043641608,0.215093785928649,7.424716410532756,0.268363243754196,66.81949644456695,45.69307965428695,87.74129073827649
CS201,44.34616472222222,29,0.06815714844326531,6.401092191296668,0.16388435567790352,5.657043320791021,0.20447144532979594,50.91114126919679,34.86151476612081,87.62294170649182
MATH203,49.74222416666667,33,0.07645053811669938,7.179979704793351,0.18382587104437895,6.345394663686049,0.22935161435009815,57.1060297425044,39.57474627803615,86.5795009897987
ECON202,18.738279444444444,13,0.028799507277940502,2.704753725186579,0.06924862324624939,2.3903591040690615,0.0863985218338215,21.51228179287727,15.476757625902883,83.39840545233952
TLL102,8.300151111111111,6,0.012756788212128058,1.1980750262556934,0.030673789388421226,1.0588134216066287,0.038270364636384176,9.528899926755226,7.0970837862430125,80.55900322236054
NS206,13.7860575,10,0.02118826675002271,1.9899313856062997,0.05094734042680058,1.758626140251885,0.06356480025006814,15.8269362260331,11.822190940501953,80.32488887560352
PSY201,12.166666666666668,9,0.01869936918455062,1.7561824225823792,0.04496276825525163,1.5520476423177016,0.05609810755365187,13.967811857504298,10.608145749871353,79.00237527000618
CS204,68.37446666666666,52,0.10508707356137673,9.869427658639298,0.25268262734052827,8.722227105594268,0.3152612206841302,78.49657695264649,61.0374883262784,77.16232673242368
ENS208,18.227811666666668,14,0.028014951762859643,2.631070886395235,0.06736215384400318,2.3252409963173504,0.08404485528857893,20.926244706905905,16.40928585160593,76.51610763374416
MATH204,28.364125277777777,22,0.04359380138350776,4.094184513267771,0.10482161027076552,3.618285514831144,0.13078140415052328,32.56313140131632,25.749066918981665,75.87800716144352
IF100,14.063527222222222,11,0.02161471952591597,2.0299824088089418,0.05197274920637264,1.7940217206510256,0.06484415857774792,16.14548238023754,12.858865879228773,75.33548851917514
English,63.29819555555555,50,0.09728517759527791,9.136699595823185,0.23392291214301725,8.074669740408067,0.29185553278583376,72.66881806352175,58.3665252731939,74.70256389947869
DSA210,16.766535555555556,14,0.025769066161580374,2.4201447970084238,0.061961905695442285,2.138832491411171,0.07730719848474113,19.24864225825942,16.216139689895915,71.2203124529805
HIST192,29.294223055555555,25,0.045023300703321195,4.228438324386916,0.10825885170941867,3.7369339583756593,0.13506990210996359,33.630920231651885,28.872003860485624,69.88968357200729
SPS102,64.28719555555556,57,0.09880520576981386,9.27945557521502,0.2375778308666702,8.20083207889455,0.29641561730944155,73.80422896163725,65.49724769620398,67.60976824916084
NS102,48.84882,45,0.07507743447202686,7.051022387497857,0.18052423341390422,6.23142706117823,0.22523230341608058,56.08036662091177,51.45665936459431,65.39138060660683
MATH102,51.86082805555556,49,0.07970669342690416,7.4857869576767495,0.19165532000444357,6.6156555544330455,0.23912008028071247,59.53827033323675,55.85477563471376,63.95686276419347
writing stories,14.769378055555556,14,0.0226995659907151,2.131867572627993,0.05458127036598439,1.8840639772293535,0.06809869797214531,16.95582689854953,15.952162675201498,63.775027538710916
studying italian,16.20838388888889,17,0.024911223634788135,2.339579086367186,0.059899217144240985,2.0676315616874152,0.0747336709043644,18.60786219240032,19.14236523259178,58.32464891240896
